device_id,device_name,device_type,vendor,model,sw_version,ip_address,rack_location,status,lab_network,last_seen
D001,ROUTER-LAB-01,Core Router,Cisco,ASR 9000,IOS-XE 17.6.1,10.0.0.1,Rack-A1,DEGRADED,NET-LAB-ALPHA,2024-03-15T08:40:00Z
D002,ROUTER-LAB-02,Core Router,Cisco,ASR 9000,IOS-XE 17.9.3,10.0.0.2,Rack-A2,UP,NET-LAB-ALPHA,2024-03-15T08:40:00Z
D003,SW-LAB-01,Access Switch,Cisco,Catalyst 9300,IOS-XE 17.6.1,10.0.1.1,Rack-B1,UP,NET-LAB-ALPHA,2024-03-15T08:40:00Z
D004,SW-LAB-02,Agg Switch,Juniper,EX4300,JunOS 21.4R2,10.0.1.2,Rack-B2,DOWN,NET-LAB-BETA,2024-03-15T08:20:00Z
D005,FW-LAB-01,Firewall,Palo Alto,PA-3220,PAN-OS 10.2,10.0.2.1,Rack-C1,UP,NET-LAB-ALPHA,2024-03-15T08:40:00Z
D006,LB-LAB-01,Load Balancer,F5,BIG-IP 2000,TMOS 16.1,10.0.2.2,Rack-C2,UP,NET-LAB-ALPHA,2024-03-15T08:40:00Z
D007,5G-AMF-01,5G Core AMF,Ericsson,vAMF,22.Q4.1,10.1.0.1,Rack-D1,WARNING,NET-LAB-5G,2024-03-15T08:40:00Z
D008,5G-SMF-01,5G Core SMF,Ericsson,vSMF,22.Q4.1,10.1.0.2,Rack-D2,WARNING,NET-LAB-5G,2024-03-15T08:40:00Z
D009,5G-UPF-01,5G Core UPF,Nokia,AirScale,23.R1.1,10.1.0.3,Rack-D3,ERROR,NET-LAB-5G,2024-03-15T08:16:00Z
D010,ENB-SIM-01,eNodeB Simulator,Keysight,UeSIM,4.2.1,10.1.1.1,Rack-E1,UP,NET-LAB-5G,2024-03-15T08:40:00Z
D011,PKT-BROKER-01,Packet Broker,Ixia,Vision X,5.4.0,10.0.3.1,Rack-F1,UP,NET-LAB-ALPHA,2024-03-15T08:40:00Z
D012,NTP-SERVER-01,NTP Server,Linux,VM,Ubuntu 22.04,10.0.0.10,Rack-G1,UP,NET-LAB-ALPHA,2024-03-15T08:40:00Z
D013,DNS-SERVER-01,DNS Server,Linux,VM,Ubuntu 22.04,10.0.0.11,Rack-G2,UP,NET-LAB-ALPHA,2024-03-15T08:40:00Z
D014,MGMT-SW-01,Management Switch,Cisco,Catalyst 3850,IOS 15.2,10.0.0.12,Rack-H1,UP,NET-LAB-ALPHA,2024-03-15T08:40:00Z
D015,ROUTER-LAB-03,Core Router,Juniper,MX204,JunOS 22.1R1,10.0.0.3,Rack-A3,UP,NET-LAB-BETA,2024-03-15T08:40:00Z
